,전국[호],서울[호],부산[호],대구[호],인천[호],광주[호],대전[호],울산[호],경기[호],강원[호],충북[호],충남[호],전북[호],전남[호],경북[호],경남[호],제주[호],수도권[호],세종[호]
2018-12-01,58838.0,27.0,4153.0,362.0,1324.0,58.0,1183.0,997.0,4968.0,5736.0,4560.0,7763.0,1607.0,1663.0,8995.0,14147.0,1295.0,6319.0,0.0
2019-01-01,59162.0,27.0,5224.0,291.0,1357.0,52.0,1407.0,1006.0,6769.0,5589.0,3525.0,7149.0,1567.0,1421.0,8531.0,14060.0,1187.0,8153.0,0.0
2019-02-01,59614.0,50.0,5228.0,738.0,1799.0,49.0,1475.0,1009.0,5878.0,5802.0,3375.0,6970.0,1415.0,1389.0,8385.0,14781.0,1271.0,7727.0,0.0
2019-03-01,62147.0,770.0,5296.0,706.0,2454.0,45.0,1475.0,1008.0,7311.0,5748.0,3536.0,6743.0,1374.0,1374.0,8262.0,14824.0,1227.0,10529.0,0.0
2019-04-01,62041.0,292.0,5401.0,1585.0,2105.0,40.0,1225.0,1076.0,7048.0,7882.0,3514.0,6413.0,1205.0,1474.0,8060.0,13476.0,1245.0,9445.0,0.0
2019-05-01,62741.0,178.0,5220.0,1814.0,3478.0,40.0,1137.0,1085.0,6562.0,7776.0,3412.0,6355.0,1513.0,1379.0,7866.0,13800.0,1126.0,10218.0,0.0
2019-06-01,63705.0,123.0,4982.0,1739.0,3632.0,39.0,1158.0,1201.0,7853.0,7712.0,3095.0,6038.0,1386.0,1349.0,7778.0,14402.0,1218.0,11608.0,0.0
2019-07-01,62529.0,190.0,4855.0,1818.0,2778.0,39.0,1048.0,1359.0,7821.0,7474.0,3236.0,6201.0,1451.0,1331.0,7517.0,14250.0,1161.0,10789.0,0.0
2019-08-01,62385.0,205.0,4644.0,1736.0,1557.0,181.0,1018.0,1339.0,8569.0,8097.0,2895.0,6847.0,1318.0,1476.0,7202.0,14078.0,1223.0,10331.0,0.0
2019-09-01,60062.0,207.0,4562.0,1550.0,1046.0,139.0,964.0,1345.0,8413.0,7797.0,2554.0,6429.0,1198.0,1875.0,6919.0,13903.0,1161.0,9666.0,0.0
2019-10-01,56098.0,191.0,4380.0,1362.0,836.0,95.0,935.0,1012.0,6976.0,7382.0,2576.0,5906.0,1077.0,2081.0,6684.0,13489.0,1116.0,8003.0,0.0
2019-11-01,53561.0,176.0,2884.0,1236.0,839.0,180.0,879.0,1365.0,7300.0,7120.0,2216.0,5895.0,987.0,1930.0,6406.0,13060.0,1088.0,8315.0,0.0
2019-12-01,47797.0,151.0,2115.0,1790.0,966.0,148.0,724.0,1269.0,5085.0,5945.0,1672.0,5569.0,1043.0,1857.0,6122.0,12269.0,1072.0,6202.0,0.0
2020-01-01,43268.0,131.0,2266.0,1414.0,1035.0,59.0,941.0,1142.0,3735.0,4964.0,1166.0,5470.0,1009.0,1654.0,5639.0,11586.0,1057.0,4901.0,0.0
2020-02-01,39456.0,112.0,2061.0,1072.0,487.0,36.0,1012.0,659.0,3634.0,4168.0,1202.0,5085.0,924.0,1455.0,5436.0,11099.0,1014.0,4233.0,0.0
2020-03-01,38304.0,91.0,1979.0,1031.0,449.0,32.0,968.0,695.0,3662.0,3902.0,1109.0,4843.0,849.0,1387.0,5296.0,10827.0,1184.0,4202.0,0.0
2020-04-01,36629.0,78.0,1993.0,1068.0,481.0,31.0,917.0,699.0,3224.0,3742.0,919.0,4334.0,822.0,1373.0,5077.0,10590.0,1281.0,3783.0,0.0
2020-05-01,33894.0,70.0,2149.0,1159.0,342.0,31.0,871.0,614.0,2604.0,3470.0,365.0,4695.0,661.0,1249.0,4306.0,9971.0,1337.0,3016.0,0.0
2020-06-01,29262.0,61.0,1666.0,940.0,266.0,31.0,875.0,555.0,2445.0,3202.0,355.0,3683.0,631.0,1244.0,3487.0,8542.0,1279.0,2772.0,0.0
2020-07-01,28883.0,58.0,1544.0,957.0,294.0,31.0,849.0,548.0,2793.0,3015.0,352.0,3266.0,534.0,1244.0,3276.0,8840.0,1282.0,3145.0,0.0
2020-08-01,28831.0,56.0,1454.0,1624.0,525.0,31.0,783.0,502.0,2585.0,2816.0,337.0,3233.0,511.0,860.0,3423.0,8841.0,1250.0,3166.0,0.0
2020-09-01,28309.0,54.0,1397.0,1216.0,414.0,259.0,773.0,494.0,3338.0,3060.0,319.0,3030.0,488.0,758.0,3325.0,8163.0,1221.0,3806.0,0.0
2020-10-01,26703.0,52.0,1262.0,1143.0,822.0,245.0,832.0,474.0,2733.0,2884.0,307.0,3235.0,444.0,1073.0,2922.0,7042.0,1233.0,3607.0,0.0
2020-11-01,23620.0,52.0,1084.0,667.0,691.0,88.0,831.0,473.0,2440.0,2648.0,275.0,3582.0,400.0,1059.0,2541.0,5581.0,1208.0,3183.0,0.0
2020-12-01,19005.0,49.0,973.0,280.0,466.0,31.0,638.0,468.0,1616.0,3115.0,273.0,2510.0,661.0,1059.0,2154.0,3617.0,1095.0,2131.0,0.0
2021-01-01,17130.0,49.0,944.0,419.0,245.0,307.0,635.0,438.0,1567.0,2671.0,234.0,2061.0,251.0,1046.0,2049.0,2964.0,1250.0,1861.0,0.0
2021-02-01,15786.0,88.0,966.0,195.0,142.0,44.0,599.0,436.0,1367.0,2340.0,211.0,1913.0,227.0,964.0,2493.0,2580.0,1221.0,1597.0,0.0
