,전국[%],서울[%],부산[%],대구[%],인천[%],광주[%],대전[%],울산[%],세종[%],경기[%],강원[%],충북[%],충남[%],전북[%],전남[%],경북[%],경남[%],제주[%]
2019-09-01,0.322,0.491,0.25,0.359,0.338,0.337,0.394,-0.128,0.398,0.351,0.188,0.129,0.101,0.175,0.284,0.173,-0.003,-0.408
2019-10-01,0.336,0.483,0.295,0.354,0.341,0.355,0.466,-0.101,0.346,0.384,0.174,0.168,0.123,0.172,0.308,0.187,0.019,-0.417
2019-11-01,0.336,0.489,0.378,0.387,0.353,0.382,0.437,-0.018,0.313,0.36,0.185,0.171,0.136,0.153,0.295,0.184,0.014,-0.522
2019-12-01,0.335,0.475,0.347,0.383,0.361,0.358,0.436,0.067,0.288,0.358,0.182,0.175,0.178,0.14,0.284,0.192,0.031,-0.402
2020-01-01,0.331,0.457,0.32,0.353,0.351,0.387,0.469,0.102,0.419,0.362,0.174,0.143,0.128,0.187,0.312,0.182,0.032,-0.309
2020-02-01,0.321,0.425,0.305,0.251,0.365,0.388,0.483,0.136,0.435,0.37,0.171,0.148,0.124,0.199,0.311,0.141,0.048,-0.314
2020-03-01,0.269,0.342,0.203,0.188,0.345,0.306,0.371,0.044,0.3,0.338,0.145,0.125,0.106,0.184,0.268,0.11,0.037,-0.316
2020-04-01,0.236,0.306,0.191,0.196,0.291,0.273,0.289,0.002,0.298,0.287,0.144,0.118,0.095,0.177,0.249,0.103,0.025,-0.294
2020-05-01,0.257,0.336,0.215,0.217,0.29,0.268,0.332,0.099,0.289,0.299,0.154,0.186,0.111,0.186,0.24,0.109,0.054,-0.212
2020-06-01,0.299,0.374,0.3,0.267,0.322,0.309,0.355,0.191,0.334,0.341,0.185,0.179,0.185,0.205,0.263,0.128,0.082,-0.111
2020-07-01,0.332,0.428,0.334,0.311,0.303,0.312,0.32,0.203,1.705,0.346,0.162,0.185,0.23,0.205,0.262,0.148,0.076,-0.081
2020-08-01,0.312,0.419,0.282,0.314,0.279,0.279,0.308,0.185,1.51,0.308,0.17,0.175,0.219,0.183,0.247,0.163,0.043,-0.072
2020-09-01,0.303,0.398,0.298,0.278,0.276,0.258,0.349,0.182,1.307,0.313,0.184,0.198,0.22,0.194,0.259,0.176,0.053,-0.08
2020-10-01,0.294,0.375,0.337,0.265,0.295,0.277,0.375,0.138,1.077,0.307,0.194,0.244,0.206,0.19,0.255,0.189,0.048,-0.088
2020-11-01,0.322,0.405,0.458,0.326,0.287,0.37,0.416,0.161,1.378,0.31,0.209,0.269,0.206,0.214,0.293,0.186,0.087,-0.068
2020-12-01,0.343,0.437,0.444,0.387,0.295,0.389,0.417,0.18,1.103,0.327,0.243,0.28,0.232,0.219,0.312,0.2,0.132,-0.004
2021-01-01,0.311,0.408,0.281,0.342,0.297,0.305,0.386,0.184,0.818,0.308,0.219,0.247,0.205,0.196,0.295,0.183,0.121,-0.012
2021-02-01,0.311,0.418,0.289,0.321,0.284,0.235,0.363,0.177,0.655,0.313,0.213,0.24,0.205,0.206,0.285,0.186,0.11,-0.01
